study_hours_daily,mock_test_avg,physics_accuracy_pct,chemistry_accuracy_pct,biology_accuracy_pct,revision_cycles,attendance_pct,sleep_hours,dropper_years,coaching_type,exam_medium,school_board,neet_marks,neet_rank
4.54,372.4,57.0,41.1,51.7,2,64.4,6.48,0,offline,hindi,cbse,317,267376
4.88,441.7,51.1,69.2,56.7,4,67.4,7.07,1,offline,english,icse,410,101439
5.58,181.3,14.8,33.9,58.7,1,64.2,7.17,0,hybrid,english,state,194,723857
7.04,546.7,99.0,80.7,86.0,4,92.1,7.7,2,offline,english,cbse,589,2478
7.19,263.3,26.2,58.0,63.8,3,65.5,6.69,1,hybrid,hindi,cbse,281,367103
7.47,606.0,61.4,84.3,84.9,5,88.4,7.11,0,none,regional,cbse,573,4804
4.76,417.0,63.7,66.1,76.2,4,71.3,6.58,0,online,hindi,cbse,463,46938
5.24,514.7,79.2,84.0,93.3,5,96.1,7.63,0,offline,english,state,546,13780
6.37,423.6,65.6,54.5,75.5,2,81.0,6.36,2,offline,english,cbse,416,90854
4.62,307.1,65.3,64.2,61.1,4,75.5,7.13,0,offline,hindi,cbse,349,198027
5.71,443.2,75.1,81.2,80.5,5,79.2,6.66,0,hybrid,english,state,482,38197
6.58,517.5,78.4,80.2,78.7,5,83.1,7.57,0,offline,english,cbse,520,21482
7.07,355.5,45.4,54.9,59.9,3,74.7,7.3,1,offline,hindi,cbse,334,226368
8.69,575.8,82.4,90.2,97.1,7,83.1,7.05,1,hybrid,english,cbse,626,1
6.89,497.6,80.1,88.6,92.9,5,86.3,8.32,0,hybrid,english,state,542,11319
8.43,522.5,77.7,80.2,99.0,6,87.8,7.38,0,online,regional,cbse,545,12113
6.18,545.8,89.0,81.1,88.5,6,80.3,7.61,0,offline,english,cbse,596,2606
8.11,538.0,85.7,84.6,83.7,4,87.2,7.48,0,none,english,cbse,552,9082
6.22,354.9,44.0,32.8,53.8,3,67.5,6.87,2,offline,english,cbse,291,338909
6.59,336.1,55.1,55.1,48.7,3,64.6,6.87,1,none,hindi,cbse,327,243014
5.35,493.0,75.1,81.9,82.9,6,97.0,7.08,0,hybrid,english,cbse,573,9282
4.37,428.5,44.1,67.0,64.0,4,83.6,6.22,0,offline,hindi,cbse,449,59153
3.5,272.0,54.8,44.4,54.7,4,67.9,6.43,0,offline,english,state,327,241427
7.03,454.1,66.3,58.2,75.9,6,84.1,7.16,1,offline,hindi,cbse,496,27667
5.24,374.0,49.8,57.2,62.3,3,71.5,8.05,0,online,english,cbse,389,127489
5.81,412.9,53.3,49.2,52.5,1,74.8,6.97,0,offline,regional,cbse,344,207180
2.25,323.4,40.8,55.0,49.5,0,75.7,6.51,0,hybrid,english,cbse,331,234970
7.59,427.4,88.8,74.1,65.0,6,73.9,6.24,0,offline,english,cbse,486,37275
7.96,567.2,77.2,99.0,98.2,5,90.5,5.7,0,none,hindi,cbse,579,6887
7.0,413.1,61.9,73.8,52.7,3,77.9,8.22,2,offline,english,state,392,122762
6.75,472.1,72.1,75.8,85.7,6,76.4,6.95,0,hybrid,english,cbse,511,23321
4.96,372.8,61.9,56.7,67.0,4,77.6,7.55,1,none,hindi,cbse,394,122205
7.58,479.4,70.1,83.5,81.0,8,93.4,7.68,1,hybrid,english,state,548,9950
3.89,181.3,46.8,43.1,37.7,3,70.1,7.0,0,hybrid,english,cbse,206,662576
4.92,314.9,46.8,50.4,57.9,2,78.0,7.14,0,hybrid,regional,state,277,380702
7.27,463.6,71.1,62.2,71.0,4,81.1,6.98,0,hybrid,hindi,cbse,509,23356
7.13,475.4,83.3,99.0,93.9,7,90.2,7.69,0,online,english,cbse,586,5147
4.37,372.9,67.0,76.1,71.0,4,87.5,7.42,0,none,regional,cbse,448,59732
5.22,318.1,61.3,60.9,70.8,4,66.1,7.46,1,offline,english,cbse,367,162479
7.85,366.9,48.6,64.6,78.1,6,69.3,6.48,1,offline,english,state,408,101542
4.4,302.7,54.2,65.6,56.4,1,70.7,6.74,1,none,english,state,330,235299
8.12,536.9,96.0,96.7,97.8,5,91.6,7.3,1,hybrid,english,cbse,611,2032
6.1,296.9,61.1,47.4,74.0,1,83.7,7.37,0,online,hindi,cbse,330,232985
8.45,445.4,60.5,62.8,58.0,2,86.3,6.5,1,online,hindi,cbse,422,85191
6.0,476.3,65.1,78.9,74.2,4,83.6,6.88,0,offline,english,state,439,68293
4.15,379.0,63.3,72.3,65.5,3,75.9,7.52,0,hybrid,english,cbse,432,75938
5.39,337.3,49.3,49.3,61.4,2,69.1,6.7,0,none,english,state,299,312742
5.39,416.9,56.2,85.1,77.7,5,76.0,6.54,0,offline,english,state,448,61183
5.65,377.2,64.5,49.7,65.4,3,72.2,5.94,0,offline,english,cbse,359,174638
7.95,531.6,77.2,83.9,79.0,7,81.8,7.43,0,none,hindi,cbse,530,15505
5.21,443.4,56.2,64.0,64.1,8,77.7,7.0,0,none,english,cbse,433,71154
7.09,502.4,82.0,83.2,83.1,5,81.0,6.67,2,hybrid,regional,state,557,9793
6.47,341.7,61.2,73.9,66.9,3,81.4,7.23,0,offline,regional,cbse,412,94664
6.48,395.3,54.3,70.0,60.9,2,82.7,7.09,0,hybrid,hindi,cbse,403,107437
6.38,432.5,66.9,62.4,74.9,2,86.9,6.41,0,hybrid,english,state,444,64016
5.25,283.1,50.7,58.1,67.3,2,77.3,6.98,0,none,regional,icse,300,312118
5.8,541.8,73.4,64.5,83.1,5,91.5,7.52,1,hybrid,hindi,cbse,524,17973
5.59,385.9,73.0,62.4,61.5,4,77.5,7.23,0,offline,english,cbse,428,79622
5.21,349.7,43.4,77.8,81.7,6,94.0,7.9,0,offline,hindi,cbse,423,86187
5.51,355.8,80.3,77.8,65.4,4,81.6,7.63,0,hybrid,hindi,cbse,467,45028
7.48,402.4,85.6,72.0,66.6,6,77.1,7.28,0,hybrid,hindi,cbse,440,68219
5.39,415.9,64.8,73.8,69.4,4,79.0,6.09,1,online,regional,cbse,485,34083
7.99,450.9,76.9,76.9,84.9,3,80.8,8.04,0,offline,regional,state,497,24354
5.21,287.8,47.3,50.0,61.2,4,70.6,7.33,1,offline,english,cbse,305,299876
4.06,267.2,49.0,55.8,58.0,3,57.5,7.82,0,none,regional,cbse,281,366165
6.08,517.3,74.9,69.9,85.7,3,84.1,8.23,1,hybrid,english,cbse,493,29497
4.99,269.3,51.1,49.9,59.1,0,53.1,7.46,0,none,english,state,254,459338
9.38,539.9,89.9,82.2,77.5,3,97.4,5.45,0,hybrid,english,state,559,6370
2.14,367.7,33.8,49.7,66.1,4,72.7,6.19,0,offline,english,cbse,358,176042
3.25,326.7,56.0,65.3,67.0,4,94.2,6.3,0,none,hindi,cbse,372,151700
5.55,416.6,64.2,78.1,74.9,4,79.2,6.35,0,none,english,cbse,469,44399
5.04,262.3,38.5,51.1,52.3,3,67.2,8.03,1,none,english,state,239,515482
7.28,401.6,47.6,60.8,68.9,4,72.2,7.44,1,none,hindi,cbse,401,112315
7.66,526.3,81.9,78.2,86.3,3,88.4,7.16,0,online,regional,cbse,547,9615
2.51,282.7,37.6,36.8,53.7,2,82.1,7.37,0,hybrid,regional,icse,291,337176
5.69,274.5,48.2,55.2,59.3,7,75.5,8.29,0,none,hindi,cbse,295,325905
5.52,360.2,55.4,52.7,53.2,5,83.5,7.08,1,offline,english,cbse,358,179369
5.53,263.6,30.7,52.1,68.5,3,70.8,6.16,0,none,english,state,276,383325
3.87,287.3,44.7,45.9,49.8,2,81.9,7.1,0,offline,regional,cbse,285,355124
4.18,341.3,45.4,44.2,46.8,4,79.3,7.84,2,online,english,cbse,301,306535
6.39,472.2,66.2,64.9,79.9,7,82.5,7.47,0,hybrid,english,cbse,492,33026
6.14,417.1,58.5,62.8,53.9,4,79.1,5.6,1,none,hindi,cbse,382,137685
5.29,212.6,38.6,43.1,78.8,3,80.6,7.03,0,none,english,icse,255,454849
5.06,344.0,57.5,60.4,59.3,3,59.6,8.34,0,none,hindi,cbse,340,217542
6.93,589.3,95.5,84.6,98.8,7,88.4,6.5,0,offline,regional,state,624,2207
6.75,476.7,70.8,76.9,78.8,5,73.0,6.44,1,hybrid,hindi,cbse,500,29004
7.83,444.5,78.3,71.2,59.4,4,89.2,6.97,0,offline,english,state,435,71342
9.94,546.1,99.0,84.9,93.6,5,94.0,7.71,0,online,hindi,state,618,2548
6.2,343.4,61.0,67.2,55.1,3,74.9,6.23,1,offline,english,state,379,142338
6.73,363.5,57.4,58.0,70.6,4,77.6,7.3,0,none,english,cbse,416,89838
3.02,195.4,46.5,52.4,35.0,0,66.8,7.2,0,offline,regional,state,178,809523
7.76,458.4,52.0,78.6,77.1,4,85.5,5.79,0,none,regional,icse,462,49044
5.26,399.3,81.8,61.6,66.8,3,95.4,7.13,0,hybrid,hindi,cbse,490,32145
5.77,434.6,70.2,70.5,74.0,5,81.6,6.87,2,hybrid,regional,cbse,483,36035
5.66,258.6,46.1,48.8,52.1,3,70.2,7.23,0,offline,english,cbse,285,354342
7.46,523.1,70.2,83.2,84.9,9,95.6,6.53,0,hybrid,english,cbse,555,6857
8.86,508.7,92.1,72.3,72.4,5,97.7,6.7,0,hybrid,regional,cbse,513,22548
5.86,297.7,52.3,47.4,64.5,4,74.4,6.63,0,offline,english,state,302,305882
3.75,241.4,40.7,38.5,58.7,0,70.8,8.34,2,none,english,cbse,240,514898
5.41,274.5,49.2,57.0,64.5,3,75.2,6.35,0,hybrid,hindi,state,315,268926
6.32,542.9,75.5,76.1,78.0,5,89.0,7.09,0,online,hindi,state,508,25404
8.34,540.0,72.0,87.9,81.0,4,100.0,6.52,0,none,hindi,cbse,533,16304
7.35,524.2,68.2,86.3,89.4,6,91.5,6.71,0,hybrid,english,cbse,569,4981
6.77,564.2,81.7,79.2,78.0,8,100.0,6.92,1,offline,english,state,566,7651
2.17,290.0,58.0,41.5,56.5,3,67.5,7.05,0,offline,english,state,257,449631
6.05,239.2,46.2,47.1,57.8,1,61.7,5.74,1,none,english,cbse,237,525679
4.82,281.2,41.0,60.0,51.5,0,62.3,8.24,1,offline,english,cbse,309,288392
7.35,466.3,78.7,63.5,89.8,5,84.5,6.61,2,offline,hindi,state,516,23528
7.2,487.9,50.9,65.6,76.7,4,72.2,7.65,0,offline,english,cbse,451,59103
5.26,455.8,84.1,63.7,73.9,3,92.3,6.55,0,hybrid,hindi,cbse,474,41161
4.1,393.0,57.4,55.4,69.3,5,78.3,7.92,0,none,english,state,399,113474
4.72,217.1,43.6,31.9,56.4,4,68.1,6.85,1,hybrid,hindi,cbse,260,439468
4.01,320.0,51.9,56.4,58.8,1,67.5,7.31,0,none,english,state,327,242538
6.04,451.3,72.5,70.1,83.2,6,72.3,6.19,0,offline,english,cbse,521,18813
4.41,347.9,71.7,51.6,52.7,2,65.7,6.31,1,none,regional,cbse,341,210938
3.49,336.1,32.4,57.2,75.8,3,82.0,6.83,0,none,hindi,state,347,199709
4.41,446.9,70.9,71.1,65.3,6,89.4,8.03,0,none,english,cbse,447,64563
6.71,486.7,70.3,64.8,78.1,3,81.6,7.79,1,none,regional,cbse,491,32247
8.33,432.9,65.3,68.3,72.2,4,74.3,7.09,2,hybrid,english,cbse,481,38925
7.49,405.8,58.5,70.2,55.6,3,81.7,8.1,1,offline,english,state,393,120488
5.8,358.9,71.0,56.1,72.4,4,87.9,7.06,0,offline,english,cbse,427,83566
8.97,533.8,84.4,89.5,93.7,6,100.0,6.31,0,offline,hindi,state,630,553
4.33,363.9,50.8,29.1,66.0,1,89.3,6.99,0,offline,english,cbse,340,214539
6.71,369.3,60.3,66.2,66.5,3,82.4,7.42,0,online,hindi,state,415,94909
4.68,286.3,47.3,55.4,57.9,5,66.8,7.03,1,online,english,state,288,345329
3.18,159.8,43.4,34.8,52.7,3,68.2,8.41,0,none,english,cbse,217,616235
6.77,398.4,62.8,69.9,63.8,4,71.9,6.68,1,offline,hindi,state,417,90953
8.86,614.5,85.2,99.0,92.5,8,100.0,7.51,1,offline,hindi,cbse,665,262
6.74,442.2,57.4,65.4,68.6,3,88.2,7.39,1,hybrid,english,cbse,396,115680
4.11,413.1,65.1,72.7,74.5,3,74.8,7.81,1,offline,english,cbse,397,117048
6.01,267.0,65.4,47.9,54.6,2,78.2,6.39,0,none,english,state,241,509454
8.11,542.6,99.0,93.8,87.7,4,99.8,5.25,0,none,hindi,cbse,585,3544
4.64,372.5,67.6,68.3,53.9,2,66.2,7.35,0,offline,hindi,state,360,175411
7.13,407.1,67.9,60.3,73.6,4,89.2,6.59,1,hybrid,english,cbse,420,89922
7.73,445.5,69.8,64.6,74.8,5,79.9,7.18,2,offline,regional,cbse,465,46235
5.66,315.3,63.0,51.5,55.8,5,74.7,7.49,2,online,regional,cbse,340,213147
6.17,504.6,72.2,88.2,82.4,5,79.0,6.71,0,hybrid,english,state,541,11303
8.01,559.7,84.0,99.0,97.0,6,94.5,6.33,2,offline,hindi,cbse,614,1
4.83,547.0,75.0,75.3,79.0,6,92.1,7.27,1,none,hindi,cbse,520,22572
4.81,252.2,52.7,48.4,48.6,4,85.2,5.84,0,offline,english,cbse,283,362390
6.68,412.7,68.4,60.6,64.2,3,73.0,6.76,0,none,hindi,cbse,448,58299
7.51,463.4,64.5,88.7,76.6,3,89.5,6.87,2,offline,hindi,cbse,541,13360
6.14,349.8,58.3,56.6,68.4,4,87.9,7.44,0,offline,english,cbse,392,120591
8.19,493.5,61.7,63.7,82.1,7,79.8,6.24,2,none,english,cbse,495,28394
5.94,438.4,63.4,74.0,69.9,5,88.7,7.06,0,offline,english,state,452,57938
3.11,248.3,48.7,53.0,58.5,2,63.1,7.98,0,online,hindi,state,278,378156
5.36,357.8,57.8,78.8,61.9,3,89.5,7.43,0,online,hindi,icse,414,96188
6.75,331.8,57.3,75.9,66.8,4,75.0,7.59,0,offline,english,cbse,413,96836
6.21,385.9,49.7,65.5,53.4,2,71.2,6.4,1,none,english,state,383,137201
4.59,327.5,47.5,63.3,60.1,2,73.4,6.92,0,offline,regional,state,321,257649
7.56,517.5,74.2,83.9,84.1,6,87.3,7.11,0,offline,regional,cbse,546,12845
5.56,311.0,45.9,54.2,27.8,3,62.2,6.5,2,none,english,state,266,416493
7.13,516.2,79.8,90.9,85.3,5,100.0,6.74,0,offline,english,cbse,586,3168
4.62,251.1,31.8,41.2,53.4,2,72.7,7.96,0,online,hindi,state,230,555668
6.25,435.5,57.7,64.3,77.6,5,83.3,7.19,1,offline,english,state,470,47034
7.38,465.4,65.8,74.1,79.1,3,72.3,7.4,2,online,english,icse,446,62150
6.52,517.3,84.4,78.8,99.0,4,94.6,8.17,1,online,regional,cbse,526,17245
6.48,436.6,61.9,81.2,74.9,8,88.8,6.78,0,offline,english,cbse,475,42490
7.1,460.2,58.7,76.6,78.6,3,86.0,8.05,0,offline,hindi,cbse,457,55344
6.1,373.0,44.6,51.4,63.4,5,76.3,6.88,1,hybrid,hindi,cbse,381,141167
5.69,393.3,39.2,46.2,64.8,3,70.8,6.14,1,online,english,state,329,237710
7.03,458.4,69.0,65.0,77.7,6,86.8,7.17,1,hybrid,english,cbse,481,39343
7.83,552.1,68.5,91.4,99.0,7,91.8,6.61,0,online,hindi,cbse,600,4665
6.67,529.9,81.6,92.1,95.8,3,95.4,6.05,0,hybrid,english,cbse,609,1139
5.73,379.2,62.3,58.3,66.4,3,80.1,6.69,1,online,hindi,state,426,80828
6.85,486.0,72.4,87.0,87.1,4,79.4,6.48,1,hybrid,english,cbse,489,36113
6.3,460.7,64.4,79.2,81.1,4,88.8,7.51,0,none,english,state,480,40113
2.99,273.7,53.7,65.4,59.3,5,72.3,8.64,0,hybrid,english,cbse,324,248678
6.58,448.4,65.8,73.3,80.6,4,77.6,7.28,0,hybrid,english,cbse,444,63981
5.41,262.4,43.8,49.9,42.9,1,59.0,7.47,1,none,english,cbse,258,443607
7.76,645.0,93.4,86.4,99.0,6,86.4,6.37,1,hybrid,english,icse,625,1
8.73,605.2,87.3,78.8,89.6,10,81.4,6.35,0,none,english,cbse,653,1
9.03,526.4,71.7,99.0,96.4,5,90.8,7.1,0,hybrid,english,cbse,594,3803
5.52,377.0,60.8,65.4,50.8,3,86.2,7.49,0,offline,hindi,cbse,402,111648
3.4,284.8,41.9,47.7,48.0,2,70.1,8.21,0,online,english,cbse,267,409573
6.13,287.4,49.5,43.0,66.0,4,60.6,6.85,1,offline,regional,cbse,356,181583
6.89,405.8,85.3,62.1,74.1,5,73.3,6.58,0,hybrid,english,cbse,500,27838
7.35,448.7,62.6,62.7,89.0,3,100.0,8.59,1,online,hindi,cbse,464,48990
4.79,365.7,50.3,51.6,64.2,6,78.0,7.87,0,hybrid,english,cbse,379,143751
6.23,378.7,59.5,53.2,62.3,4,78.3,7.64,1,none,english,state,393,123021
4.96,371.1,63.8,55.3,70.6,2,76.5,6.39,0,offline,english,cbse,363,167530
4.86,412.3,79.4,75.2,69.5,4,66.2,7.41,0,online,hindi,cbse,470,46722
6.63,465.1,65.0,76.7,74.4,5,70.9,7.88,0,offline,hindi,icse,484,37915
3.53,284.0,38.7,43.3,67.3,3,63.2,7.93,0,online,english,cbse,288,346338
7.07,430.8,61.8,59.3,87.2,4,78.2,7.66,0,none,english,cbse,414,93919
7.49,526.1,71.6,71.1,91.5,8,79.8,6.78,1,none,hindi,state,550,7327
6.67,459.8,74.2,90.8,79.2,6,86.2,6.35,0,none,english,cbse,481,37967
5.41,245.7,53.5,61.3,37.5,3,81.0,6.82,1,online,hindi,cbse,313,275337
5.5,416.3,75.2,76.3,76.2,4,95.4,7.47,0,online,english,state,448,60296
5.41,396.6,61.3,75.7,77.6,7,81.5,6.86,0,none,regional,cbse,453,56402
7.6,404.5,47.6,74.1,62.7,4,77.4,7.55,0,offline,english,cbse,415,92700
6.01,408.3,60.9,65.2,65.4,3,81.8,7.22,1,offline,english,cbse,398,113849
5.09,504.7,67.7,95.6,86.0,5,87.6,7.16,0,offline,hindi,state,576,3178
7.9,517.2,72.4,81.1,74.8,5,88.3,6.86,0,online,english,cbse,538,14489
2.56,230.1,41.9,31.3,36.7,0,68.7,6.35,0,offline,english,cbse,192,733822
6.98,487.6,76.3,57.3,73.9,7,89.3,6.2,0,none,regional,state,475,41008
7.71,456.2,63.5,73.6,73.1,3,88.3,7.76,0,offline,english,state,449,62691
6.27,497.5,81.8,73.9,91.9,7,85.4,6.93,0,hybrid,hindi,cbse,581,3116
8.44,556.7,85.1,70.7,78.0,3,92.4,6.55,1,hybrid,hindi,cbse,572,5495
5.08,323.0,54.2,51.9,60.7,3,48.6,6.33,0,none,english,state,311,282454
5.56,208.8,49.9,42.8,45.3,4,66.2,7.54,0,hybrid,english,state,270,404157
4.38,253.2,32.9,35.8,48.1,2,69.2,5.93,0,offline,english,cbse,248,481705
3.57,216.1,50.3,47.3,56.1,1,60.0,7.71,0,offline,english,cbse,283,361425
5.17,534.9,82.9,86.9,99.0,6,100.0,5.68,0,online,english,cbse,613,1
6.13,542.2,84.1,83.5,73.7,5,70.3,7.09,1,online,hindi,state,532,13583
6.18,487.1,73.5,79.2,84.4,7,73.8,7.73,0,hybrid,english,cbse,556,9957
7.72,386.7,68.2,68.2,80.0,3,82.9,6.72,1,offline,english,state,458,52331
6.96,334.3,51.4,73.9,58.7,3,60.6,6.96,0,hybrid,english,state,369,158552
5.17,394.9,55.5,59.4,60.2,7,80.9,8.02,1,offline,hindi,cbse,397,116778
7.98,432.1,78.0,65.9,67.9,5,95.0,5.83,0,none,english,state,428,80470
3.72,295.9,54.7,45.4,40.2,3,70.6,7.19,0,none,english,state,321,255699
4.27,304.8,45.1,44.0,57.3,4,70.1,6.81,0,none,english,cbse,315,271154
3.79,310.8,62.0,41.8,63.2,3,79.8,7.24,1,online,english,cbse,355,182513
6.31,386.4,75.8,66.3,67.5,6,65.3,7.0,0,offline,english,cbse,403,108635
4.1,244.3,52.0,53.0,55.0,4,75.0,8.0,0,none,hindi,cbse,288,343744
8.49,466.4,88.5,80.4,82.4,5,88.7,5.83,0,offline,hindi,state,538,14310
4.06,356.8,48.0,60.7,66.8,1,63.5,7.63,0,offline,hindi,cbse,348,196665
7.12,455.7,57.2,69.3,81.0,6,80.6,8.15,0,offline,english,cbse,469,45148
5.63,363.7,67.9,60.4,81.0,7,85.2,6.77,1,offline,english,state,449,60144
6.86,364.7,72.6,71.3,79.5,6,81.1,7.19,0,hybrid,hindi,state,436,73335
6.04,437.8,75.8,67.1,69.5,1,93.2,6.46,0,offline,english,cbse,441,67998
7.86,553.8,69.8,88.6,89.9,7,87.5,8.17,1,offline,hindi,cbse,574,5276
4.5,384.9,39.8,59.6,55.7,4,70.8,5.94,0,online,hindi,icse,403,108657
4.93,346.0,49.2,69.6,56.8,4,72.4,7.11,0,offline,regional,cbse,353,186188
7.17,487.0,56.7,70.0,83.7,3,80.9,6.98,0,offline,english,state,495,27954
8.51,404.6,61.1,60.3,73.3,3,94.7,5.45,1,online,english,cbse,410,101924
5.59,429.4,80.2,77.9,80.1,6,94.1,6.15,0,offline,english,state,499,27133
4.25,295.6,19.8,49.8,57.2,2,60.8,6.81,0,none,hindi,state,240,513633
3.94,267.2,46.0,60.8,56.4,5,72.6,7.06,0,offline,regional,cbse,333,229182
5.17,562.2,83.6,78.0,75.9,3,80.7,7.29,1,none,english,cbse,506,26898
3.3,294.9,59.8,56.8,46.0,3,74.9,5.78,0,hybrid,english,cbse,274,392514
4.32,315.3,57.3,47.8,56.0,1,57.1,7.81,0,offline,english,cbse,328,240134
6.55,510.5,80.0,76.1,83.4,3,76.8,6.78,0,hybrid,english,cbse,506,24056
6.91,386.0,67.0,47.6,65.9,2,75.2,7.11,0,hybrid,english,cbse,417,89610
8.02,506.2,76.7,68.6,79.8,2,89.7,6.67,1,offline,english,state,487,32964
3.36,187.4,39.3,47.7,43.6,3,67.5,6.8,0,online,english,state,213,630818
6.37,388.2,61.4,60.4,58.6,2,65.8,7.59,1,online,hindi,icse,354,183955
6.67,556.1,74.6,94.3,69.4,4,96.0,7.9,0,offline,english,state,556,10237
7.37,457.1,92.8,94.1,92.8,6,90.1,7.9,0,offline,english,cbse,546,12121
5.55,309.9,53.4,57.1,63.1,3,69.9,7.48,1,none,hindi,cbse,342,208150
6.57,209.5,43.4,41.3,59.5,2,62.2,6.25,0,none,regional,state,252,467042
6.79,503.7,73.2,69.3,70.4,4,95.3,6.73,0,offline,hindi,cbse,479,38578
2.55,251.6,55.8,55.5,42.1,3,65.8,6.92,0,offline,hindi,cbse,279,372749
5.91,365.9,63.0,54.0,68.2,4,82.1,6.79,0,hybrid,english,state,383,137597
7.97,525.3,87.8,75.5,89.5,4,84.5,5.95,0,online,hindi,cbse,551,12363
8.24,518.2,87.3,84.5,85.8,8,78.4,7.84,0,online,hindi,cbse,596,3209
5.01,405.7,71.2,52.5,69.0,4,81.2,7.23,1,hybrid,english,cbse,434,74376
7.54,561.5,82.7,79.8,88.0,7,92.1,6.43,1,online,english,cbse,561,7154
7.62,551.6,80.6,71.9,77.9,6,79.7,7.32,1,offline,hindi,cbse,519,22140
6.01,198.5,46.1,48.6,52.2,3,74.2,6.81,0,none,hindi,cbse,251,470929
8.93,654.2,87.9,88.9,99.0,4,91.5,6.8,1,none,regional,state,659,3687
6.64,268.0,53.0,42.1,49.6,1,77.3,6.41,1,offline,hindi,cbse,276,382659
6.18,477.3,67.9,66.1,96.3,4,90.1,6.41,0,offline,english,icse,516,21387
4.28,340.6,43.1,52.1,51.6,1,65.3,8.0,0,offline,hindi,state,279,373278
4.38,246.4,45.4,74.6,47.6,3,70.1,7.73,0,hybrid,english,cbse,287,348645
8.25,475.2,96.6,73.8,80.5,5,98.5,7.76,1,offline,regional,cbse,530,16988
8.23,486.4,73.1,81.3,74.8,4,93.9,6.64,0,offline,regional,state,496,29257
6.76,476.9,69.7,85.9,79.5,5,85.7,6.99,0,hybrid,hindi,cbse,494,32158
5.93,384.4,44.7,85.6,77.6,5,86.2,7.47,0,offline,english,icse,467,47246
5.37,257.9,60.0,39.2,45.1,0,76.4,6.75,1,online,regional,cbse,268,409788
5.57,555.4,73.3,92.8,91.2,7,97.3,6.29,0,offline,english,cbse,598,4522
4.98,360.2,65.2,33.4,63.9,4,85.1,7.56,1,online,hindi,cbse,370,156599
5.94,432.7,60.5,47.7,70.9,2,93.2,6.78,0,online,english,cbse,393,122190
7.06,470.4,59.2,56.8,73.0,3,96.9,6.83,2,none,english,cbse,406,103500
5.13,358.1,71.0,63.9,71.2,3,77.1,8.23,0,offline,english,icse,388,130767
6.51,543.7,71.5,71.8,91.1,4,87.9,6.67,0,online,regional,state,541,13710
5.88,513.3,79.6,89.0,78.6,7,100.0,7.36,2,none,hindi,cbse,535,14486
7.6,474.4,74.2,83.9,81.4,5,92.1,6.89,0,none,english,cbse,512,21722
5.97,495.3,99.0,93.1,82.0,3,90.1,7.19,0,offline,english,cbse,543,13400
5.95,289.6,66.2,51.2,51.4,3,69.2,5.94,0,none,english,state,306,293802
6.89,475.6,78.2,65.2,69.1,4,85.2,7.37,1,hybrid,english,cbse,521,18614
6.06,347.4,74.2,56.4,66.8,2,69.8,8.22,0,none,english,state,348,196926
3.84,279.4,44.0,69.1,45.2,3,66.4,8.3,0,none,hindi,state,279,372701
6.71,378.6,54.3,53.0,54.8,1,72.6,6.92,0,online,english,state,332,231977
9.31,404.3,56.8,69.8,81.8,6,82.8,8.1,2,online,english,cbse,485,35488
6.7,470.3,76.5,63.3,58.2,4,85.3,7.87,1,online,english,cbse,433,76643
7.24,444.5,73.6,65.5,78.8,5,77.6,6.89,1,offline,english,cbse,453,57354
6.96,523.3,61.7,70.3,75.9,4,80.2,8.13,1,none,hindi,cbse,527,16333
8.11,505.9,78.9,87.0,84.8,7,95.1,6.8,0,hybrid,english,cbse,567,7019
5.29,253.5,44.8,50.8,52.0,2,69.8,7.52,0,offline,hindi,icse,305,297724
5.67,603.8,88.5,74.3,99.0,6,100.0,8.18,0,offline,english,cbse,626,865
4.39,313.7,66.0,57.5,54.9,3,73.8,6.92,1,none,english,state,299,316221
6.84,479.4,61.7,80.0,75.3,4,82.7,6.96,0,none,hindi,cbse,472,41673
6.48,374.3,54.5,68.8,64.9,5,67.3,5.94,0,online,hindi,cbse,406,106764
3.98,110.6,9.1,45.0,48.5,3,58.8,6.93,0,online,english,cbse,175,825250
6.24,639.0,88.3,89.5,84.8,6,83.8,7.47,2,hybrid,hindi,cbse,652,1892
7.64,530.8,87.1,85.3,86.7,5,90.6,6.95,0,offline,hindi,cbse,570,4816
7.82,385.0,71.0,55.8,75.6,4,69.1,7.37,0,offline,english,cbse,407,104052
5.43,623.3,86.0,96.4,90.0,6,93.0,5.82,1,offline,english,icse,631,1469
6.7,346.6,54.3,78.3,62.1,3,80.0,7.3,0,hybrid,regional,state,363,168769
8.28,406.2,58.5,82.5,58.7,3,73.7,6.29,0,none,english,cbse,395,119938
6.64,324.4,65.2,65.9,76.5,4,76.6,7.67,0,hybrid,hindi,cbse,410,99059
6.4,453.6,64.9,74.7,82.9,7,78.8,6.39,0,offline,hindi,cbse,481,38847
7.69,457.4,60.2,73.1,74.2,6,87.7,7.58,0,none,regional,cbse,467,46054
6.93,501.0,89.0,67.3,83.2,4,86.1,6.02,0,none,regional,cbse,560,7951
6.87,360.2,59.9,74.4,83.6,4,88.4,7.25,1,hybrid,english,cbse,415,94475
5.6,314.8,54.2,44.8,54.4,4,59.8,7.17,1,online,english,state,330,235529
7.97,607.2,60.5,90.2,99.0,6,100.0,7.06,0,hybrid,hindi,state,598,606
6.37,578.5,81.8,81.6,98.8,6,79.6,6.93,0,hybrid,hindi,cbse,613,1
7.19,577.9,86.8,99.0,91.0,11,99.4,7.54,0,online,english,state,676,544
5.64,190.4,52.9,46.2,37.9,4,55.8,7.35,0,none,english,cbse,241,511734
